x,y
0.75457,0.47597
0.72064,0.35038
0.79383,0.68027
0.79401,0.41746
0.91167,0.72764
0.65419,0.50889
0.70057,0.51453
0.66021,0.76898
0.71078,0.60482
0.71579,0.49955
0.72074,0.43215
0.71861,0.48131
0.7154,0.62685
0.73655,0.69782
0.78806,0.571
0.84112,0.48516
0.72666,0.61662
0.89637,0.6699
0.82247,0.49647
0.84932,0.7924
0.67903,0.50558
0.61339,0.70594
0.78022,0.71705
0.78156,0.57237
0.6233,0.54995
0.63989,0.70177
0.78216,0.27716
0.83514,0.56874
0.8599,0.57436
0.68383,0.6214
0.80171,0.42296
0.80246,0.3396
0.75243,0.14469
0.67349,0.64989
0.66941,0.73446
0.81223,0.49287
0.6247,0.94096
0.73208,0.46167
0.76578,0.35529
0.83951,0.54026
0.72711,0.58017
0.64712,0.67167
0.78185,0.58259
0.6992,0.4422
0.8925,0.32169
0.68772,0.47028
0.76815,0.34697
0.91301,0.67821
0.8365,0.54694
0.7536,0.26933
0.792,0.6214
0.9409,0.417
0.86333,0.77768
0.65208,0.57167
0.76921,0.59976
0.83734,0.43843
0.6361,0.64638
0.77725,0.57368
0.74963,0.59769
0.77723,0.51256
0.69259,0.66548
0.61349,0.1763
0.6719,0.58968
0.90004,0.72973
0.74487,0.53313
0.68125,0.65513
0.86853,0.46888
0.82605,0.5908
0.68814,0.47071
0.83812,0.74509
0.84086,0.63796
0.69501,0.78173
0.7967,0.55676
0.72621,0.55397
0.85173,0.6131
0.65722,0.79323
0.72329,0.18409
0.81844,0.29733
0.74875,0.76441
0.79953,0.86387
0.88941,0.53089
0.72191,0.77822
0.67008,0.90778
0.87584,0.59349
0.72105,0.4911
0.77955,0.48766
0.70986,0.52274
0.63347,0.69013
0.68158,0.5363
0.85649,0.88669
0.72277,0.50948
0.74328,0.44978
0.77813,0.64979
0.846,0.60073
0.76671,0.63678
0.7349,0.2311
0.68892,0.53958
0.80002,0.27242
0.59326,0.5928
0.66396,0.68478
0.81191,0.75057
0.7895,0.68287
0.65607,0.6402
0.79648,0.68644
0.79125,0.55439
0.66324,0.55727
0.74935,0.72532
0.87892,0.73593
0.71671,0.48867
0.6506,0.27817
0.7672,0.19913
0.71155,0.30589
0.72714,0.40468
0.78666,0.63434
0.75066,0.44026
0.72538,0.54984
0.67505,0.622
0.69142,0.3434
0.67568,0.42846
0.70807,0.44446
0.89119,0.43615
0.76634,0.49368
0.71239,0.6883
0.74501,0.48285
0.7739,0.67357
0.77628,0.61739
0.77958,0.59383
0.83932,0.71811
0.72829,0.90301
0.7824,0.79624
0.70702,0.31201
0.61101,0.64748
0.71064,0.36552
0.86467,0.24429
0.72746,0.37125
0.83401,0.21713
0.80149,0.38386
0.70868,0.7783
0.90302,0.48777
0.82252,0.98879
0.82478,0.6254
0.6845,0.72271
0.70482,0.54022
0.80495,0.51902
0.84778,0.43907
0.75287,0.5889
0.88743,0.32805
0.74502,0.42848
0.81049,0.39371
0.75517,0.5901
0.83959,0.80395
0.72959,0.90577
0.75248,0.28477
0.63815,0.61841
0.77831,0.45958
0.76186,0.39176
0.79579,0.57979
0.78109,0.4885
0.7031,0.5715
0.80631,0.68534
0.95695,0.41493
0.70526,0.53915
0.82707,0.29355
0.71019,0.50256
0.68459,0.72031
0.668,0.28636
0.79945,0.62541
0.75748,0.34883
0.82254,0.59814
0.7402,0.49193
0.66393,0.51918
0.73956,0.30886
0.7492,0.4188
0.80231,0.53275
0.66121,0.57476
0.61224,0.53302
0.79043,0.46163
0.6948,0.77422
0.71692,0.53252
0.79751,0.44026
0.75633,0.44299
0.76768,0.55139
0.84658,0.71081
0.83742,0.49601
0.75519,0.70169
0.71375,0.59933
0.6625,0.47399
0.77935,0.4337
0.93396,0.59153
0.83596,0.54699
0.77232,0.41977
0.66992,0.43733
0.66002,0.64894
0.71388,0.64617
0.46524,0.51397
0.78722,0.69448
0.85116,0.50785
0.76347,0.54505
0.72959,0.75934
0.85963,0.4777
0.7218,0.23918
0.71006,0.35885
0.82659,0.60954
0.75534,0.52914
0.70579,1
0.82135,0.33882
0.71769,0.52468
0.87022,0.56977
0.70619,0.34537
0.70893,0.73464
0.70624,0.68144
0.78249,0.80822
0.85593,0.67249
0.78321,0
0.81467,0.40992
0.85208,0.61286
0.74498,0.43404
0.82834,0.60835
0.74527,0.55287
0.91746,0.4765
0.77506,0.57418
0.71269,0.64479
0.76268,0.74478
0.69818,0.42152
0.63693,0.47265
0.78198,0.44902
0.77293,0.69794
0.80553,0.81295
0.6895,0.73092
0.69259,0.77619
0.71692,0.60294
0.67706,0.43616
0.96324,0.67125
0.78367,0.83735
0.70435,0.64369
0.78775,0.71084
0.85008,0.31844
0.80736,0.65401
0.82586,0.53896
0.79212,0.65119
0.63825,0.766
0.69609,0.46191
0.83695,0.80236
0.73958,0.41367
0.77497,0.56986
0.79786,0.6121
0.67584,0.73268
0.76963,0.5121
0.72125,0.41487
0.6408,0.78819
0.78535,0.62093
0.68957,0.2597
0.71599,0.61415
0.65124,0.29351
0.70824,0.6889
0.78893,0.78352
0.87656,0.53438
0.66732,0.41923
0.78164,0.75809
0.79542,0.48234
0.83572,0.4335
0.85243,0.36315
0.66931,0.33048
0.75966,0.60715
0.85017,0.51074
0.7971,0.68851
0.86328,0.55439
0.84907,0.53011
0.93634,0.2902
0.5521,0.44032
0.72922,0.57996
0.7287,0.49544
0.64471,0.76572
0.71456,0.27275
0.865,0.53463
0.7595,0.58157
0.82927,0.44875
0.88146,0.58116
0.73244,0.82701
0.7232,0.3967
0.65295,0.5077
0.73344,0.33819
0.69959,0.6789
0.73793,0.37199
0.73745,0.4272
0.69853,0.7892
0.6663,0.69405
0.72567,0.44342
0.75604,0.7247
0.68558,0.45879
0.78218,0.58021
0.74375,0.85448
0.73473,0.92158
0.82548,0.49306
0.93342,0.55862
0.82052,0.72828
0.80466,0.65979
0.75527,0.52641
0.76496,0.53014
0.79992,0.43896
0.7121,0.20284
0.63937,0.53852
0.78813,0.37329
0.70058,0.52721
0.78539,0.95508
0.69062,0.56876
0.65789,0.80293
0.64627,0.38712
0.77667,0.76581
0.9062,0.29779
0.77042,0.51896
0.79288,0.60952
0.76604,0.66179
0.77272,0.54366
0.93801,0.39164
0.69443,0.37015
0.74261,0.44878
0.70276,0.40165
0.81018,0.47149
0.77466,0.41254
0.72958,0.76049
0.81235,0.60622
0.67706,0.60837
0.76415,0.43024
0.77042,0.60731
0.87674,0.61464
0.7966,0.41484
0.75747,0.37467
0.65105,0.25632
0.64105,0.70189
0.80063,0.40276
0.70071,0.5708
0.73624,0.57657
0.68761,0.57786
0.76897,0.46211
0.77255,0.52746
0.88996,0.51468
0.89563,0.77755
0.83709,0.37991
0.83882,0.53071
0.66437,0.73261
0.85366,0.6302
0.68202,0.39069
0.6311,0.68925
1,0.13462
0.77958,0.48521
0.70359,0.81217
0.75552,0.64249
0.76025,0.68901
0.59467,0.54863
0.69952,0.50305
0.79588,0.67382
0.75766,0.93108
0.62619,0.52079
0.71686,0.79143
0.74329,0.4778
0.7612,0.49513
0.62496,0.66665
0.77467,0.42024
0.87327,0.71292
0.63162,0.29626
0.78887,0.17923
0.85892,0.53816
0.78435,0.61557
0.80051,0.76578
0.71814,0.58237
0.74057,0.71484
0.6663,0.60156
0.7455,0.67121
0.71213,0.40965
0.70397,0.55126
0.86694,0.46852
0.74585,0.52578
0.80367,0.92784
0.78396,0.34056
0.67635,0.56881
0.60862,0.51246
0.64393,0.62359
0.77627,0.84787
0.73159,0.70816
0.8137,0.45914
0.7255,0.33586
0.65255,0.69795
0.76237,0.40594
0.84014,0.44988
0.77545,0.63723
0.74051,0.32178
0.72233,0.81035
0.85307,0.5797
0.82568,0.52624
0.72165,0.69158
0.65069,0.69132
0.68419,0.52384
0.78071,0.73832
0.67033,0.62167
0.72496,0.73795
0.74543,0.6052
0.70384,0.53306
0.70657,0.8409
0.73739,0.4391
0.33713,0.48541
0.44467,0.66776
0.25613,0.79128
0.33725,0.31979
0.31286,0.84155
0.26117,0.76699
0.28785,0.57824
0.33595,0.81413
0.46837,0.60223
0.35674,0.40148
0.26923,0.74236
0.13539,0.91766
0.30741,0.44052
0.30833,0.40446
0.22686,0.74403
0.36626,0.55958
0.31838,0.34695
0.33356,0.75958
0.25049,0.53893
0.23519,0.43719
0.25194,0.47109
0.20216,0.48441
0.24768,0.71215
0.34439,0.37998
0.11355,0.63785
0.15096,0.72278
0.29018,0.42693
0.31355,0.61645
0.21468,0.30099
0.32965,0.67397
0.38558,0.3853
0.34105,0.69135
0.16711,0.63219
0.23158,0.4981
0.22203,0.32854
0.2619,0.7747
0.23616,0.58762
0.22298,0.82956
0.43597,0.56474
0.26235,0.28117
0.27633,0.83158
0.31029,0.51714
0.15404,0.71008
0.19976,0.44877
0.3245,0.66048
0.31533,0.69589
0.19825,0.72415
0.37526,0.64258
0.28296,0.55691
0.29909,0.58631
0.29659,0.61136
0.24555,0.4462
0.14637,0.65073
0.278,0.39446
0.16699,0.26102
0.27538,0.58982
0.30418,0.59476
0.30345,0.59841
0.18082,0.84472
0.3165,0.75903
0.19443,0.85915
0.30761,0.59835
0.33482,0.70758
0.41185,0.46957
0.12938,0.52673
0.35232,0.28603
0.27557,0.57447
0.2823,0.71049
0.24459,0.39546
0.30625,0.52808
0.26811,0.44848
0.24023,0.4351
0.24643,0.70659
0.33583,0.57406
0.32618,0.68075
0.37332,0.62635
0.31622,0.71189
0.27683,0.20518
0.20001,0.40118
0.31249,0.53611
0.26439,0.61859
0.30527,0.74563
0.35582,0.46188
0.24998,0.46738
0.2508,0.51813
0.26806,0.67371
0.30458,0.58027
0.4458,0.74202
0.22056,0.44088
0.39185,0.62863
0.27145,0.62483
0.35763,0.30249
0.29275,0.61042
0.24677,0.83946
0.26806,0.3733
0.36235,0.46228
0.38618,0.40203
0.36252,0.74256
0.24449,0.47507
0.18836,0.68262
0.31916,0.30237
0.329,0.27416
0.093636,0.72166
0.29,0.65754
0.45034,0.60783
0.27354,0.71685
0.23826,0.57411
0.21012,0.58559
0.14794,0.42455
0.25024,0.56489
0.31146,0.38877
0.21196,0.42204
0.30775,0.48765
0.34912,0.5854
0.2422,0.81774
0.32623,0.62329
0.3319,0.62784
0.28481,0.6496
0.43957,0.7544
0.18965,0.65549
0.30942,0.57349
0.21639,0.49466
0.23226,0.65816
0.32226,0.29622
0.37272,0.57001
0.30129,0.71307
0.38913,0.52721
0.21613,0.65492
0.3143,0.59075
0.24703,0.65622
0.2295,0.48507
0.084424,0.8286
0.34697,0.62632
0.43325,0.58576
0.3268,0.37445
0.39466,0.53273
0.29269,0.33398
0.19288,0.51759
0.22059,0.36833
0.22599,0.55323
0.37346,0.58754
0.25094,0.48649
0.2952,0.82251
0.18493,0.78062
0.27396,0.78776
0.16227,0.65713
0.23375,0.68716
0.34692,0.45908
0.42047,0.5843
0.3257,0.38527
0.29565,0.60145
0.3712,0.74464
0.34448,0.38868
0.098566,0.53024
0.14945,0.33073
0.22362,0.6596
0.2205,0.75871
0.16426,0.74484
0.23562,0.40062
0.21605,0.45087
0.37329,0.54717
0.24091,0.50068
0.18935,0.47967
0.2559,0.16276
0.2351,0.66442
0.30842,0.52618
0.27022,0.67341
0.17314,0.60536
0.33305,0.090712
0.25995,0.51557
0.24168,0.68813
0.22219,0.72924
0.34958,0.51304
0.27969,0.64599
0.16793,0.60115
0.45616,0.70968
0.26168,0.87499
0.30911,0.41875
0.31559,0.89663
0.18699,0.59742
0.38265,0.43658
0.30756,0.43479
0.29925,0.58207
0.39268,0.58529
0.30044,0.62859
0.15481,0.69462
0.28688,0.62077
0.37846,0.4008
0.38199,0.45386
0.30861,0.44295
0.15704,0.46968
0.373,0.61974
0.28368,0.61745
0.30298,0.52728
0.38731,0.40488
0.3193,0.51167
